name,type,start_time,duration,data,error
Prototype,data,0.2410774,0.0009895,"
",
Capnostat,data,0.2420822,0.0009895,4,
Prototype,data,0.2421187,0.0009895,1,
Prototype,data,0.24316,0.0009895,3,
Capnostat,data,0.2432279,0.0009895,0,
Prototype,data,0.2442013,0.0009895,0,
Prototype,data,0.2452426,0.0009895,",",
Prototype,data,0.246284,0.0009895,1,
Prototype,data,0.2473253,0.0009895,3,
Prototype,data,0.2483666,0.0009895,3,
Prototype,data,0.2494079,0.0009895,"
",
Prototype,data,0.2504492,0.0009895,1,
Prototype,data,0.2514905,0.0009895,2,
Prototype,data,0.2525318,0.0009895,8,
Prototype,data,0.2535732,0.0009895,",",
Capnostat,data,0.2536696,0.0009895,4,
Prototype,data,0.2546145,0.0009895,1,
Capnostat,data,0.2548154,0.0009895,0,
Prototype,data,0.2556558,0.0009895,3,
Prototype,data,0.2566971,0.0009895,1,
Prototype,data,0.2577384,0.0009895,"
",
Prototype,data,0.2587797,0.0009895,1,
Prototype,data,0.2598211,0.0009895,3,
Prototype,data,0.2608624,0.0009895,0,
Prototype,data,0.2619037,0.0009895,",",
Prototype,data,0.262945,0.0009895,1,
Prototype,data,0.2639863,0.0009895,3,
Prototype,data,0.2650276,0.0009895,1,
Prototype,data,0.266069,0.0009895,"
",
Prototype,data,0.2671103,0.0009895,1,
Prototype,data,0.2681516,0.0009895,2,
Prototype,data,0.2691929,0.0009895,8,
Prototype,data,0.2702342,0.0009895,",",
Prototype,data,0.2712755,0.0009895,1,
Prototype,data,0.2723168,0.0009895,3,
Prototype,data,0.2733582,0.0009895,2,
Prototype,data,0.2743995,0.0009895,"
",
Prototype,data,0.2754408,0.0009895,1,
Prototype,data,0.2764821,0.0009895,3,
Capnostat,data,0.2764995,0.0009895,4,
Prototype,data,0.2775234,0.0009895,0,
Capnostat,data,0.2776452,0.0009895,0,
Prototype,data,0.2785647,0.0009895,",",
Prototype,data,0.2796061,0.0009895,1,
Prototype,data,0.2806474,0.0009895,3,
Prototype,data,0.2816887,0.0009895,2,
Prototype,data,0.28273,0.0009895,"
",
Prototype,data,0.2837713,0.0009895,1,
Prototype,data,0.2848126,0.0009895,2,
Prototype,data,0.285854,0.0009895,8,
Prototype,data,0.2868953,0.0009895,",",
Prototype,data,0.2879366,0.0009895,1,
Prototype,data,0.2889779,0.0009895,3,
Prototype,data,0.2900192,0.0009895,1,
Prototype,data,0.2910605,0.0009895,"
",
Prototype,data,0.2921018,0.0009895,1,
Prototype,data,0.2931432,0.0009895,3,
Prototype,data,0.2941845,0.0009895,0,
Prototype,data,0.2952258,0.0009895,",",
Prototype,data,0.2962671,0.0009895,1,
Prototype,data,0.2973084,0.0009895,3,
Prototype,data,0.2983497,0.0009895,2,
Prototype,data,0.299391,0.0009895,"
",
Capnostat,data,0.2995181,0.0009895,4,
Prototype,data,0.3004324,0.0009895,1,
Capnostat,data,0.3006638,0.0009895,0,
Prototype,data,0.3014737,0.0009895,2,
Prototype,data,0.302515,0.0009895,7,
Prototype,data,0.3035563,0.0009895,",",
Prototype,data,0.3045976,0.0009895,1,
Prototype,data,0.3056389,0.0009895,2,
Prototype,data,0.3066803,0.0009895,9,
Prototype,data,0.3077216,0.0009895,"
",
Prototype,data,0.3087629,0.0009895,1,
Prototype,data,0.3098042,0.0009895,2,
Prototype,data,0.3108455,0.0009895,9,
Prototype,data,0.3118868,0.0009895,",",
Prototype,data,0.3129282,0.0009895,1,
Prototype,data,0.3139695,0.0009895,3,
Prototype,data,0.3150108,0.0009895,1,
Prototype,data,0.3160521,0.0009895,"
",
Prototype,data,0.3170934,0.0009895,1,
Prototype,data,0.3181347,0.0009895,2,
Prototype,data,0.319176,0.0009895,8,
Prototype,data,0.3202174,0.0009895,",",
Prototype,data,0.3212587,0.0009895,1,
Prototype,data,0.3223,0.0009895,3,
Capnostat,data,0.3223935,0.0009895,4,
Prototype,data,0.3233413,0.0009895,3,
Capnostat,data,0.3235392,0.0009895,0,
Prototype,data,0.3243826,0.0009895,"
",
Prototype,data,0.3254239,0.0009895,1,
Prototype,data,0.3264653,0.0009895,3,
Prototype,data,0.3275066,0.0009895,0,
Prototype,data,0.3285479,0.0009895,",",
Prototype,data,0.3295892,0.0009895,1,
Prototype,data,0.3306305,0.0009895,3,
Prototype,data,0.3316718,0.0009895,2,
Prototype,data,0.3327131,0.0009895,"
",
Prototype,data,0.3337545,0.0009895,1,
Prototype,data,0.3347958,0.0009895,2,
Prototype,data,0.3358371,0.0009895,8,
Prototype,data,0.3368784,0.0009895,",",
Prototype,data,0.3379197,0.0009895,1,
Prototype,data,0.338961,0.0009895,3,
Prototype,data,0.3400024,0.0009895,2,
Prototype,data,0.3410437,0.0009895,"
",
Prototype,data,0.342085,0.0009895,1,
Prototype,data,0.3431263,0.0009895,3,
Prototype,data,0.3441676,0.0009895,0,
Prototype,data,0.3452089,0.0009895,",",
Capnostat,data,0.3454837,0.0009895,4,
Prototype,data,0.3462503,0.0009895,1,
Capnostat,data,0.3466294,0.0009895,0,
Prototype,data,0.3472916,0.0009895,3,
Prototype,data,0.3483329,0.0009895,1,
Prototype,data,0.3493742,0.0009895,"
",
Prototype,data,0.3504155,0.0009895,1,
Prototype,data,0.3514568,0.0009895,2,
Prototype,data,0.3524981,0.0009895,8,
Prototype,data,0.3535395,0.0009895,",",
Prototype,data,0.3545808,0.0009895,1,
Prototype,data,0.3556221,0.0009895,3,
Prototype,data,0.3566634,0.0009895,1,
Capnostat,data,0.3569735,0.0009895,-2,
Prototype,data,0.3577047,0.0009895,"
",
Capnostat,data,0.3581192,0.0009895,5,
Prototype,data,0.358746,0.0009895,1,
Capnostat,data,0.3592649,0.0009895,0,
Prototype,data,0.3597874,0.0009895,3,
Capnostat,data,0.3604107,0.0009895,0,
Prototype,data,0.3608287,0.0009895,0,
Capnostat,data,0.3615564,0.0009895,0,
Prototype,data,0.36187,0.0009895,",",
Capnostat,data,0.3627021,0.0009895,0,
Prototype,data,0.3629113,0.0009895,1,
Capnostat,data,0.3638478,0.0009895,4,
Prototype,data,0.3639526,0.0009895,3,
Capnostat,data,0.3649935,0.0009895,0,
Prototype,data,0.3649939,0.0009895,2,
Prototype,data,0.3660352,0.0009895,"
",
Prototype,data,0.3670766,0.0009895,1,
Prototype,data,0.3681179,0.0009895,2,
Prototype,data,0.3691592,0.0009895,8,
Prototype,data,0.3702005,0.0009895,",",
Prototype,data,0.3712418,0.0009895,1,
Prototype,data,0.3722831,0.0009895,3,
Prototype,data,0.3733245,0.0009895,1,
Prototype,data,0.3743658,0.0009895,"
",
Prototype,data,0.3754071,0.0009895,1,
Prototype,data,0.3764484,0.0009895,3,
Prototype,data,0.3774897,0.0009895,0,
Prototype,data,0.378531,0.0009895,",",
Prototype,data,0.3795723,0.0009895,1,
Capnostat,data,0.3797643,0.0009895,4,
Prototype,data,0.3806137,0.0009895,3,
Capnostat,data,0.38091,0.0009895,0,
Prototype,data,0.381655,0.0009895,2,
Prototype,data,0.3826963,0.0009895,"
",
Prototype,data,0.3837376,0.0009895,1,
Prototype,data,0.3847789,0.0009895,2,
Prototype,data,0.3858202,0.0009895,8,
Prototype,data,0.3868616,0.0009895,",",
Prototype,data,0.3879029,0.0009895,1,
Prototype,data,0.3889442,0.0009895,3,
Prototype,data,0.3899855,0.0009895,1,
Prototype,data,0.3910268,0.0009895,"
",
Prototype,data,0.3920681,0.0009895,1,
Prototype,data,0.3931095,0.0009895,2,
Prototype,data,0.3941508,0.0009895,9,
Prototype,data,0.3951921,0.0009895,",",
Prototype,data,0.3962334,0.0009895,1,
Prototype,data,0.3972747,0.0009895,3,
Prototype,data,0.398316,0.0009895,1,
Prototype,data,0.3993573,0.0009895,"
",
Prototype,data,0.4003987,0.0009895,1,
Prototype,data,0.40144,0.0009895,2,
Prototype,data,0.4024813,0.0009895,8,
Capnostat,data,0.4027047,0.0009895,4,
Prototype,data,0.4035226,0.0009895,",",
Capnostat,data,0.4038505,0.0009895,0,
Prototype,data,0.4045639,0.0009895,1,
Prototype,data,0.4056052,0.0009895,3,
Prototype,data,0.4066466,0.0009895,1,
Prototype,data,0.4076879,0.0009895,"
",
Prototype,data,0.4087292,0.0009895,1,
Prototype,data,0.4097705,0.0009895,2,
Prototype,data,0.4108118,0.0009895,9,
Prototype,data,0.4118531,0.0009895,",",
Prototype,data,0.4128944,0.0009895,1,
Prototype,data,0.4139358,0.0009895,3,
Prototype,data,0.4149771,0.0009895,1,
Prototype,data,0.4160184,0.0009895,"
",
Prototype,data,0.4170597,0.0009895,1,
Prototype,data,0.418101,0.0009895,2,
Prototype,data,0.4191423,0.0009895,8,
Prototype,data,0.4201837,0.0009895,",",
Prototype,data,0.421225,0.0009895,1,
Prototype,data,0.4222663,0.0009895,3,
Prototype,data,0.4233076,0.0009895,2,
Prototype,data,0.4243489,0.0009895,"
",
Prototype,data,0.4253902,0.0009895,1,
Capnostat,data,0.4257234,0.0009895,4,
Prototype,data,0.4264315,0.0009895,3,
Capnostat,data,0.4268691,0.0009895,0,
Prototype,data,0.4274729,0.0009895,0,
Prototype,data,0.4285142,0.0009895,",",
Prototype,data,0.4295555,0.0009895,1,
Prototype,data,0.4305968,0.0009895,3,
Prototype,data,0.4316381,0.0009895,1,
Prototype,data,0.4326794,0.0009895,"
",
Prototype,data,0.4337208,0.0009895,1,
Prototype,data,0.4347621,0.0009895,2,
Prototype,data,0.4358034,0.0009895,8,
Prototype,data,0.4368447,0.0009895,",",
Prototype,data,0.437886,0.0009895,1,
Prototype,data,0.4389273,0.0009895,3,
Prototype,data,0.4399686,0.0009895,2,
Prototype,data,0.44101,0.0009895,"
",
Prototype,data,0.4420513,0.0009895,1,
Prototype,data,0.4430926,0.0009895,3,
Prototype,data,0.4441339,0.0009895,0,
Prototype,data,0.4451752,0.0009895,",",
Prototype,data,0.4462165,0.0009895,1,
Prototype,data,0.4472579,0.0009895,3,
Prototype,data,0.4482992,0.0009895,2,
Capnostat,data,0.4486834,0.0009895,4,
Prototype,data,0.4493405,0.0009895,"
",
Capnostat,data,0.4498291,0.0009895,0,
Prototype,data,0.4503818,0.0009895,1,
Prototype,data,0.4514231,0.0009895,2,
Prototype,data,0.4524644,0.0009895,8,
Prototype,data,0.4535058,0.0009895,",",
Prototype,data,0.4545471,0.0009895,1,
Prototype,data,0.4555884,0.0009895,3,
Prototype,data,0.4566297,0.0009895,1,
Prototype,data,0.457671,0.0009895,"
",
Prototype,data,0.4587123,0.0009895,1,
Prototype,data,0.4597536,0.0009895,2,
Capnostat,data,0.4600625,0.0009895,4,
Prototype,data,0.460795,0.0009895,9,
Capnostat,data,0.4612082,0.0009895,0,
Prototype,data,0.4618363,0.0009895,",",
Prototype,data,0.4628776,0.0009895,1,
Prototype,data,0.4639189,0.0009895,3,
Prototype,data,0.4649602,0.0009895,1,
Prototype,data,0.4660015,0.0009895,"
",
Prototype,data,0.4670429,0.0009895,1,
Prototype,data,0.4680842,0.0009895,2,
Prototype,data,0.4691255,0.0009895,8,
Prototype,data,0.4701668,0.0009895,",",
Prototype,data,0.4712081,0.0009895,1,
Prototype,data,0.4722494,0.0009895,3,
Prototype,data,0.4732907,0.0009895,1,
Prototype,data,0.4743321,0.0009895,"
",
Prototype,data,0.4753734,0.0009895,1,
Prototype,data,0.4764147,0.0009895,3,
Prototype,data,0.477456,0.0009895,0,
Prototype,data,0.4784973,0.0009895,",",
Prototype,data,0.4795386,0.0009895,1,
Prototype,data,0.48058,0.0009895,3,
Prototype,data,0.4816213,0.0009895,1,
Prototype,data,0.4826626,0.0009895,"
",
Capnostat,data,0.483016,0.0009895,4,
Prototype,data,0.4837039,0.0009895,1,
Capnostat,data,0.4841617,0.0009895,0,
Prototype,data,0.4847452,0.0009895,2,
Prototype,data,0.4857865,0.0009895,7,
Prototype,data,0.4868278,0.0009895,",",
Prototype,data,0.4878692,0.0009895,1,
Prototype,data,0.4889105,0.0009895,3,
Prototype,data,0.4899518,0.0009895,1,
Prototype,data,0.4909931,0.0009895,"
",
Prototype,data,0.4920344,0.0009895,1,
Prototype,data,0.4930757,0.0009895,3,
Prototype,data,0.4941171,0.0009895,0,
Prototype,data,0.4951584,0.0009895,",",
Prototype,data,0.4961997,0.0009895,1,
